,noticia_359,noticia_415,noticia_364,noticia_384,noticia_332,noticia_585,noticia_246,noticia_277,noticia_189,noticia_352
noticia_359,1.0000000000000002,1.0000000000000002,0.1774680538237218,0.1774680538237218,0.1513187721099421,0.1487494151718567,0.1290878907624421,0.1131699076711293,0.1844580855165688,0.1950681755089132
noticia_415,1.0000000000000002,1.0000000000000002,0.1774680538237218,0.1774680538237218,0.1513187721099421,0.1487494151718567,0.1290878907624421,0.1131699076711293,0.1844580855165688,0.1950681755089132
noticia_364,0.1774680538237218,0.1774680538237218,1.0000000000000002,1.0000000000000002,0.1055090274730778,0.1070107825531617,0.088822274358441,0.0838339481018005,0.1051487003929092,0.1008729348504692
noticia_384,0.1774680538237218,0.1774680538237218,1.0000000000000002,1.0000000000000002,0.1055090274730778,0.1070107825531617,0.088822274358441,0.0838339481018005,0.1051487003929092,0.1008729348504692
noticia_332,0.1513187721099421,0.1513187721099421,0.1055090274730778,0.1055090274730778,1.0,0.9688925150730304,0.1252652734570991,0.1235959900600447,0.1583646346062118,0.1717169025448905
noticia_585,0.1487494151718567,0.1487494151718567,0.1070107825531617,0.1070107825531617,0.9688925150730304,1.0000000000000002,0.1239525965077557,0.1209317552949876,0.150329809533342,0.1630706591622443
noticia_246,0.1290878907624421,0.1290878907624421,0.088822274358441,0.088822274358441,0.1252652734570991,0.1239525965077557,1.0,0.8939663679930838,0.1316922664876666,0.1413789080755726
noticia_277,0.1131699076711293,0.1131699076711293,0.0838339481018005,0.0838339481018005,0.1235959900600447,0.1209317552949876,0.8939663679930838,1.0000000000000002,0.1164222779776698,0.1301220332542634
noticia_189,0.1844580855165688,0.1844580855165688,0.1051487003929092,0.1051487003929092,0.1583646346062118,0.150329809533342,0.1316922664876666,0.1164222779776698,1.0,0.874091120030265
noticia_352,0.1950681755089132,0.1950681755089132,0.1008729348504692,0.1008729348504692,0.1717169025448905,0.1630706591622443,0.1413789080755726,0.1301220332542634,0.874091120030265,1.0
