,noticia_359,noticia_415,noticia_364,noticia_384,noticia_332,noticia_585,noticia_189,noticia_352,noticia_38,noticia_236
noticia_359,1.0,1.0,0.6312001636735624,0.6312001636735624,0.6804880643454513,0.6827446650097533,0.7693079543434675,0.7796547167765862,0.7665800769914756,0.7538845490275495
noticia_415,1.0,1.0,0.6312001636735624,0.6312001636735624,0.6804880643454513,0.6827446650097533,0.7693079543434675,0.7796547167765862,0.7665800769914756,0.7538845490275495
noticia_364,0.6312001636735624,0.6312001636735624,1.0,1.0,0.6153326827176719,0.6288566460492927,0.5710460091720911,0.5851487458076678,0.6222336632134561,0.6303558441209842
noticia_384,0.6312001636735624,0.6312001636735624,1.0,1.0,0.6153326827176719,0.6288566460492927,0.5710460091720911,0.5851487458076678,0.6222336632134561,0.6303558441209842
noticia_332,0.6804880643454513,0.6804880643454513,0.6153326827176719,0.6153326827176719,1.0,0.9873013694176276,0.6708644413512482,0.6916937304859521,0.7379386861675894,0.7508978258459689
noticia_585,0.6827446650097533,0.6827446650097533,0.6288566460492927,0.6288566460492927,0.9873013694176276,1.0,0.6594702358222272,0.6812917535163407,0.7381814852981059,0.7544572645343419
noticia_189,0.7693079543434675,0.7693079543434675,0.5710460091720911,0.5710460091720911,0.6708644413512482,0.6594702358222272,1.0,0.973281485794365,0.7900906895219437,0.7720034124266598
noticia_352,0.7796547167765862,0.7796547167765862,0.5851487458076678,0.5851487458076678,0.6916937304859521,0.6812917535163407,0.973281485794365,1.0,0.8049216462821057,0.7866480337556758
noticia_38,0.7665800769914756,0.7665800769914756,0.6222336632134561,0.6222336632134561,0.7379386861675894,0.7381814852981059,0.7900906895219437,0.8049216462821057,1.0,0.9675027092818012
noticia_236,0.7538845490275495,0.7538845490275495,0.6303558441209842,0.6303558441209842,0.7508978258459689,0.7544572645343419,0.7720034124266598,0.7866480337556758,0.9675027092818012,1.0
