,noticia_364,noticia_384,noticia_359,noticia_415,noticia_332,noticia_585,noticia_189,noticia_352,noticia_38,noticia_236
noticia_364,1.0000000000000002,1.0000000000000002,0.0681154325279579,0.0681154325279579,0.095011925714633,0.0837462980156538,0.0774149243506718,0.0639929469438616,0.1171791748634081,0.107999689501339
noticia_384,1.0000000000000002,1.0000000000000002,0.0681154325279579,0.0681154325279579,0.095011925714633,0.0837462980156538,0.0774149243506718,0.0639929469438616,0.1171791748634081,0.107999689501339
noticia_359,0.0681154325279579,0.0681154325279579,1.0,1.0,0.062340396164346,0.06410676255336,0.0944459019541777,0.0857251761097893,0.0756837161624451,0.0697548677517101
noticia_415,0.0681154325279579,0.0681154325279579,1.0,1.0,0.062340396164346,0.06410676255336,0.0944459019541777,0.0857251761097893,0.0756837161624451,0.0697548677517101
noticia_332,0.095011925714633,0.095011925714633,0.062340396164346,0.062340396164346,1.0000000000000002,0.9724464889715236,0.0929925260260689,0.0939519151361338,0.1524880788757911,0.1621645312741539
noticia_585,0.0837462980156538,0.0837462980156538,0.06410676255336,0.06410676255336,0.9724464889715236,1.0,0.0796894971263144,0.0878308810927703,0.144746500965256,0.1556420473918496
noticia_189,0.0774149243506718,0.0774149243506718,0.0944459019541777,0.0944459019541777,0.0929925260260689,0.0796894971263144,1.0,0.8403238014980648,0.0836271250771825,0.0770760124634203
noticia_352,0.0639929469438616,0.0639929469438616,0.0857251761097893,0.0857251761097893,0.0939519151361338,0.0878308810927703,0.8403238014980648,1.0000000000000002,0.1013878714011198,0.0764553535523532
noticia_38,0.1171791748634081,0.1171791748634081,0.0756837161624451,0.0756837161624451,0.1524880788757911,0.144746500965256,0.0836271250771825,0.1013878714011198,1.0,0.8166632639101561
noticia_236,0.107999689501339,0.107999689501339,0.0697548677517101,0.0697548677517101,0.1621645312741539,0.1556420473918496,0.0770760124634203,0.0764553535523532,0.8166632639101561,1.0
