,noticia_611,noticia_244,noticia_279,noticia_259,noticia_220,noticia_273,noticia_614,noticia_548,noticia_280
noticia_611,1.0,0.9940988421440125,0.9835814237594604,0.9794142842292786,0.970567524433136,0.976273238658905,0.8756184577941895,0.8890769481658936,0.9767937064170837
noticia_244,0.9940988421440125,1.0,0.981060266494751,0.9715763330459595,0.9675127267837524,0.973839521408081,0.8454089760780334,0.8620638251304626,0.973708987236023
noticia_279,0.9835814237594604,0.981060266494751,1.0,0.9931793212890625,0.9831428527832031,0.9844051599502563,0.8647967576980591,0.8828707933425903,0.9853745698928833
noticia_259,0.9794142842292786,0.9715763330459595,0.9931793212890625,1.0,0.9809999465942383,0.9844099283218384,0.8709384202957153,0.8871714472770691,0.9800851345062256
noticia_220,0.970567524433136,0.9675127267837524,0.9831428527832031,0.9809999465942383,1.0,0.9929201006889343,0.8291081786155701,0.8468368053436279,0.992673397064209
noticia_273,0.976273238658905,0.973839521408081,0.9844051599502563,0.9844099283218384,0.9929201006889343,1.0,0.8504000306129456,0.8709447979927063,0.9858328700065613
noticia_614,0.8756184577941895,0.8454089760780334,0.8647967576980591,0.8709384202957153,0.8291081786155701,0.8504000306129456,1.0,0.9927138090133667,0.8340713381767273
noticia_548,0.8890769481658936,0.8620638251304626,0.8828707933425903,0.8871714472770691,0.8468368053436279,0.8709447979927063,0.9927138090133667,1.0,0.8511928915977478
noticia_280,0.9767937064170837,0.973708987236023,0.9853745698928833,0.9800851345062256,0.992673397064209,0.9858328700065613,0.8340713381767273,0.8511928915977478,1.0
